ID,school,grade,age_T1,gender_T1,hsc1_T1,hsc2_T1,hsc3_T1,hsc4_T1,hsc5_T1,hsc6_T1,hsc7_T1,hsc8_T1,hsc9_T1,hsc10_T1,hsc11_T1,hsc12_T1,wb1_T1,wb2_T1,wb3_T1,wb4_T1,wb5_T1,ev1_T1,ev2_T1,age_T2,gender_T2,hsc1_T2,hsc2_T2,hsc3_T2,hsc4_T2,hsc5_T2,hsc6_T2,hsc7_T2,hsc8_T2,hsc9_T2,hsc10_T2,hsc11_T2,hsc12_T2,wb1_T2,wb2_T2,wb3_T2,wb4_T2,wb5_T2,ev1_T2,ev2_T2,age_T3,gender_T3,hsc1_T3,hsc2_T3,hsc3_T3,hsc4_T3,hsc5_T3,hsc6_T3,hsc7_T3,hsc8_T3,hsc9_T3,hsc10_T3,hsc11_T3,hsc12_T3,wb1_T3,wb2_T3,wb3_T3,wb4_T3,wb5_T3,ev1_T3,ev2_T3,age_T4,gender_T4,hsc1_T4,hsc2_T4,hsc3_T4,hsc4_T4,hsc5_T4,hsc6_T4,hsc7_T4,hsc8_T4,hsc9_T4,hsc10_T4,hsc11_T4,hsc12_T4,wb1_T4,wb2_T4,wb3_T4,wb4_T4,wb5_T4,ev1_T4,ev2_T4
257,1,1,19,0,5,4,5,3,7,5,6,4,4,4,4,5,3,3,3,2,3,3,3,19,0,5,4,4,5,7,5,4,4,5,6,5,5,3,3,2,2,2,3,2,19,0,5,6,5,5,7,6,4,4,5,6,5,5,3,3,3,2,2,-1,3,19,0,5,5,5,6,7,5,4,5,5,6,5,5,3,2,3,2,3,2,3
258,1,1,19,0,3,6,7,5,7,6,4,5,2,7,7,3,3,2,3,2,3,3,3,19,0,5,6,6,6,6,6,3,5,3,6,6,4,4,4,3,3,3,2,3,19,0,5,6,6,5,6,6,2,4,6,7,6,6,4,4,3,2,3,-2,-2,19,0,5,6,6,5,6,5,2,4,3,7,6,3,4,3,3,3,4,3,-3
259,1,1,18,0,7,7,7,7,7,7,4,4,4,7,7,7,5,5,5,5,5,3,3,18,0,7,7,7,7,7,7,4,7,4,7,7,7,3,5,5,5,5,3,2,18,0,7,7,7,7,7,7,4,7,4,7,7,7,4,5,4,4,3,2,3,18,0,4,7,7,7,7,7,4,7,4,7,7,7,4,5,5,5,4,2,2
260,1,1,18,0,7,1,7,2,6,5,3,3,4,6,3,3,3,3,3,3,3,.,.,18,0,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,.,.,18,0,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,.,.,18,0,4,4,5,3,5,6,6,5,3,3,6,6,2,4,2,3,2,.,.
261,1,1,18,0,4,4,7,4,7,6,2,2,2,7,2,7,4,3,2,2,2,-1,3,18,0,5,3,7,5,7,4,2,3,5,7,1,7,4,4,4,4,4,-3,3,18,0,6,1,6,4,7,5,1,3,1,7,1,6,5,5,5,1,2,-3,3,18,0,5,2,7,6,7,6,1,4,1,7,2,6,3,1,2,0,2,0,0
262,1,1,18,1,5,6,7,6,7,5,7,5,4,7,6,6,3,3,3,1,2,3,3,18,1,5,7,7,6,7,5,7,5,4,7,7,6,4,4,4,3,2,3,3,18,1,6,7,7,6,7,7,7,5,5,7,7,5,3,3,3,4,3,3,3,18,1,6,7,7,5,7,6,7,6,5,7,7,6,3,3,2,3,3,3,2
263,1,1,18,1,4,5,7,1,5,5,4,6,2,7,7,7,5,5,2,2,5,3,-2,18,1,4,7,7,1,6,3,4,2,2,7,7,7,5,5,5,5,5,3,-3,18,1,4,7,7,4,7,4,4,4,2,7,7,4,5,4,3,2,1,3,-2,18,1,5,7,7,3,7,3,4,3,1,7,7,4,5,5,5,5,5,3,-3
264,1,1,18,1,4,4,7,4,7,4,7,4,4,7,6,7,3,3,3,3,2,-3,3,18,1,6,2,7,3,7,3,5,3,4,7,5,4,5,5,5,2,5,3,-2,18,1,4,5,7,4,7,4,7,4,4,7,4,6,3,3,3,3,3,-3,3,18,1,6,6,7,5,7,5,7,5,5,7,5,6,3,3,4,3,3,-3,3
265,1,1,18,1,4,6,5,2,7,5,7,6,2,7,7,6,3,2,3,5,3,-3,3,18,1,5,5,6,4,7,6,7,4,3,7,5,7,4,5,4,5,4,3,3,18,1,5,5,7,7,7,7,7,6,2,7,7,7,5,5,5,5,5,3,0,18,1,5,5,7,3,7,3,7,6,3,7,7,7,5,5,5,5,5,3,-1
266,1,1,18,0,5,4,6,3,7,5,3,4,2,5,3,4,3,3,4,1,4,1,-3,18,0,5,4,5,4,5,4,4,3,3,5,3,4,4,4,4,4,5,1,2,18,0,5,5,5,5,6,5,4,5,4,6,4,4,4,4,4,3,3,2,-3,18,0,5,5,5,6,6,5,5,5,3,6,3,6,4,4,4,1,4,3,-2
267,1,1,18,1,4,4,6,5,7,4,6,4,6,7,5,6,4,4,3,4,2,3,2,18,1,4,5,6,5,7,5,6,6,6,7,6,6,3,3,3,4,2,3,3,18,1,5,6,7,5,7,5,5,5,5,7,5,6,3,2,3,4,3,3,3,18,1,5,5,6,5,7,5,6,5,6,7,5,6,3,2,3,2,1,3,3
268,1,1,18,1,5,3,7,4,7,5,2,4,5,7,6,5,4,4,5,2,4,-1,3,18,1,4,5,7,4,7,4,7,4,4,7,5,7,3,3,3,3,3,3,-3,18,1,6,4,7,5,7,4,4,4,4,7,4,4,5,5,5,5,5,3,1,18,1,6,2,7,4,7,5,6,4,6,7,4,5,5,5,5,5,5,-3,3
269,1,1,18,0,7,6,2,4,7,5,3,5,2,7,3,6,3,4,4,3,5,3,3,18,0,6,5,1,5,7,6,3,5,4,7,5,6,4,4,5,5,4,3,-3,18,0,6,5,6,4,3,5,6,5,5,7,5,7,5,4,5,5,4,3,0,18,0,6,6,2,5,7,5,3,6,5,7,5,7,5,4,4,4,4,3,-3
