ID,participation_T1,age_T1,gender_T1,hsc1_T1,hsc2_T1,hsc3_T1,hsc4_T1,hsc5_T1,hsc6_T1,hsc7_T1,hsc8_T1,hsc9_T1,hsc10_T1,hsc11_T1,hsc12_T1,wb1_T1,wb2_T1,wb3_T1,wb4_T1,wb5_T1,event1_T1,event2_T1,participation_T2,age_T2,gender_T2,hsc1_T2,hsc2_T2,hsc3_T2,hsc4_T2,hsc5_T2,hsc6_T2,hsc7_T2,hsc8_T2,hsc9_T2,hsc10_T2,hsc11_T2,hsc12_T2,wb1_T2,wb2_T2,wb3_T2,wb4_T2,wb5_T2,event1_T2,event2_T2,participation_T3,age_T3,gender_T3,hsc1_T3,hsc2_T3,hsc3_T3,hsc4_T3,hsc5_T3,hsc6_T3,hsc7_T3,hsc8_T3,hsc9_T3,hsc10_T3,hsc11_T3,hsc12_T3,wb1_T3,wb2_T3,wb3_T3,wb4_T3,wb5_T3,event1_T3,event2_T3,participation_T4,age_T4,gender_T4,hsc1_T4,hsc2_T4,hsc3_T4,hsc4_T4,hsc5_T4,hsc6_T4,hsc7_T4,hsc8_T4,hsc9_T4,hsc10_T4,hsc11_T4,hsc12_T4,wb1_T4,wb2_T4,wb3_T4,wb4_T4,wb5_T4,event1_T4,event2_T4,age_T5,gender_T5,hsc1_T5,hsc2_T5,hsc3_T5,hsc4_T5,hsc5_T5,hsc6_T5,hsc7_T5,hsc8_T5,hsc9_T5,hsc10_T5,hsc11_T5,hsc12_T5,wb1_T5,wb2_T5,wb3_T5,wb4_T5,wb5_T5,event1_T5,event2_T5,age_T6,gender_T6,hsc1_T6,hsc2_T6,hsc3_T6,hsc4_T6,hsc5_T6,hsc6_T6,hsc7_T6,hsc8_T6,hsc9_T6,hsc10_T6,hsc11_T6,hsc12_T6,wb1_T6,wb2_T6,wb3_T6,wb4_T6,wb5_T6,event1_T6,event2_T6,age_T7,gender_T7,hsc1_T7,hsc2_T7,hsc3_T7,hsc4_T7,hsc5_T7,hsc6_T7,hsc7_T7,hsc8_T7,hsc9_T7,hsc10_T7,hsc11_T7,hsc12_T7,wb1_T7,wb2_T7,wb3_T7,wb4_T7,wb5_T7,event1_T7,event2_T7,age_T8,gender_T8,hsc1_T8,hsc2_T8,hsc3_T8,hsc4_T8,hsc5_T8,hsc6_T8,hsc7_T8,hsc8_T8,hsc9_T8,hsc10_T8,hsc11_T8,hsc12_T8,wb1_T8,wb2_T8,wb3_T8,wb4_T8,wb5_T8,event1_T8,event2_T8,age_T9,gender_T9,hsc1_T9,hsc2_T9,hsc3_T9,hsc4_T9,hsc5_T9,hsc6_T9,hsc7_T9,hsc8_T9,hsc9_T9,hsc10_T9,hsc11_T9,hsc12_T9,wb1_T9,wb2_T9,wb3_T9,wb4_T9,wb5_T9,event1_T9,event2_T9,age_T10,gender_T10,hsc1_T10,hsc2_T10,hsc3_T10,hsc4_T10,hsc5_T10,hsc6_T10,hsc7_T10,hsc8_T10,hsc9_T10,hsc10_T10,hsc11_T10,hsc12_T10,wb1_T10,wb2_T10,wb3_T10,wb4_T10,wb5_T10,event1_T10,event2_T10
1,1,20,0,3,3,6,2,5,3,7,4,4,7,4,5,4,3,5,3,5,-2,-1,1,20,0,3,3,6,3,7,5,7,5,4,7,5,6,3,3,4,4,5,2,-2,1,20,0,5,3,7,4,7,4,6,4,3,7,3,6,3,4,4,2,3,3,-3,1,20,0,5,4,7,5,7,6,7,5,3,7,2,6,4,3,5,4,5,3,2,20,0,7,4,7,3,7,7,7,6,5,7,3,6,2,2,3,1,2,-2,2,20,0,5,4,7,7,7,7,7,6,4,7,3,6,5,4,5,2,4,3,2,20,0,5,5,7,5,7,7,6,7,4,7,3,6,5,4,4,3,4,2,-1,20,0,6,6,7,5,7,7,5,5,4,7,2,6,4,5,5,4,5,3,1,20,0,6,4,7,6,6,7,7,5,4,7,3,6,5,5,5,5,5,2,-3,20,0,5,6,7,7,6,7,7,7,4,7,3,6,4,5,5,3,4,3,-2
2,1,18,0,5,6,2,6,6,7,4,6,3,7,7,6,4,4,1,1,3,3,-2,1,19,0,6,6,3,6,7,6,4,6,7,6,5,5,2,.,3,2,3,-3,-3,1,19,0,6,6,3,6,7,6,4,6,2,6,7,6,3,2,3,1,3,2,-3,1,19,0,6,7,5,6,6,7,3,6,2,5,4,5,3,1,3,1,2,2,-2,19,0,6,6,4,2,7,7,3,7,2,6,7,6,4,1,4,1,3,2,-2,19,0,6,6,4,6,7,7,6,5,6,6,6,7,2,4,3,2,3,-3,-3,19,0,6,6,3,5,6,6,3,7,2,5,6,6,2,2,3,2,4,3,-1,19,0,6,6,5,7,7,7,5,7,2,7,7,6,3,2,3,2,3,3,-2,19,0,6,6,5,7,6,6,5,6,2,6,5,7,3,4,2,3,3,3,-3,19,0,6,7,5,7,7,6,2,7,2,5,6,7,3,3,4,1,3,3,0
3,1,18,1,1,1,5,1,7,1,4,1,1,6,5,5,5,5,5,5,3,3,3,1,18,1,1,2,5,2,7,2,2,2,2,6,2,2,5,5,5,5,5,3,-3,1,18,1,1,1,7,2,7,1,2,1,1,7,5,5,5,5,5,4,5,3,-3,1,18,1,1,5,6,1,7,1,2,1,1,7,1,1,5,5,5,5,5,3,-3,18,1,1,2,6,1,7,1,3,2,1,7,6,2,5,5,5,5,5,-3,3,18,1,1,3,7,2,7,1,4,1,1,7,5,1,5,5,5,5,5,3,-1,18,1,1,5,7,1,7,2,3,1,2,7,5,2,5,5,5,5,5,3,-3,18,1,1,3,7,1,7,1,5,1,1,7,4,2,5,5,5,5,5,3,-3,18,1,1,2,7,1,7,1,4,1,1,7,4,1,5,5,5,5,5,-1,3,18,1,1,2,7,1,7,1,2,1,1,7,2,1,5,5,5,5,5,3,-3
4,1,19,1,6,5,2,3,6,6,6,2,1,7,6,7,5,1,4,2,3,3,3,1,19,1,5,5,3,6,6,3,6,5,2,7,5,6,4,4,3,1,3,-1,3,1,19,1,5,6,3,6,6,6,7,5,2,7,5,6,5,3,4,3,3,-1,2,1,19,1,5,5,3,5,6,6,6,6,2,7,6,6,4,2,2,2,3,3,0,19,1,5,4,3,5,5,5,6,5,2,7,4,6,4,2,3,2,3,-1,3,19,1,5,4,3,5,5,4,6,5,2,7,5,6,4,1,4,2,4,3,3,19,1,5,6,6,6,6,6,6,6,1,7,6,6,5,4,4,2,4,2,2,19,1,6,4,4,6,7,5,6,5,1,7,2,7,4,3,4,1,4,3,1,19,1,4,5,2,6,7,6,7,4,1,1,6,7,4,3,4,2,4,-1,3,19,1,7,5,2,6,7,6,7,6,1,7,6,6,5,2,4,2,4,2,-2
5,1,18,1,2,2,3,1,6,2,7,2,4,6,5,7,4,1,4,1,4,3,-3,1,18,1,4,4,4,1,7,5,7,3,5,5,5,6,1,1,4,1,5,-3,1,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,18,1,3,5,5,3,7,5,7,4,4,6,5,7,3,1,3,1,3,3,-2,18,1,6,2,3,1,7,4,7,6,4,2,4,6,4,1,2,1,2,-2,-2,18,1,1,1,2,3,7,4,7,5,2,4,6,6,3,2,3,1,2,-2,-2,19,1,4,3,3,6,7,5,7,6,5,5,5,5,4,1,5,1,5,3,3,18,1,2,2,4,3,7,5,7,5,4,7,6,6,3,1,3,2,3,3,2,19,1,2,5,4,2,7,6,6,5,4,5,5,5,2,2,2,2,2,2,-1,18,1,2,5,4,4,7,5,7,6,6,6,6,5,3,2,3,1,3,3,3
6,1,18,1,5,4,7,7,6,7,4,5,3,6,5,6,3,1,2,0,4,1,2,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,18,1,3,4,7,7,6,5,2,4,5,7,4,7,3,2,3,1,2,-3,1,1,18,1,3,4,6,7,7,7,5,4,5,6,4,6,3,2,4,1,3,-3,2,18,1,5,5,7,6,7,6,4,6,4,7,5,6,4,3,4,2,2,2,3,18,1,5,5,7,6,6,6,3,6,4,7,4,6,3,2,3,4,3,3,2,18,1,5,6,7,6,7,5,4,6,6,7,5,6,4,3,4,3,5,3,3,18,1,5,6,7,6,6,5,6,5,5,6,5,6,3,2,3,4,3,3,-2,18,1,5,6,7,6,6,5,5,6,5,7,5,7,4,4,3,2,3,3,-2,18,1,5,6,5,7,6,6,6,6,7,6,5,6,2,2,3,0,2,-2,3
7,1,19,0,2,7,7,5,7,7,2,7,2,7,7,7,2,2,5,1,4,-3,-3,1,19,0,3,6,7,1,7,7,2,7,3,7,6,7,2,2,4,1,4,3,2,1,19,0,4,6,7,1,7,7,2,7,2,7,6,7,3,3,4,1,3,1,2,1,19,0,2,7,7,1,7,7,2,7,2,7,7,7,3,3,4,2,4,2,-3,19,0,3,7,7,7,7,7,2,7,2,7,7,7,3,2,3,2,3,-3,-3,19,0,3,7,7,7,7,7,2,7,2,7,7,7,3,3,3,2,3,2,1,19,0,6,7,7,7,7,7,2,7,2,7,7,7,3,2,2,2,2,1,3,19,0,7,7,1,7,7,7,7,7,2,7,7,7,2,2,3,1,3,-3,3,19,0,6,7,7,7,7,7,2,7,2,7,7,7,1,1,3,0,1,-3,-3,19,0,6,7,7,7,7,7,2,7,2,7,7,7,1,1,2,1,1,3,-3
8,1,20,0,5,4,7,1,6,2,5,4,5,6,5,7,2,3,4,1,3,-1,2,1,20,0,5,7,7,3,4,3,4,2,4,5,2,7,1,2,2,1,2,3,2,1,20,0,5,6,6,3,2,.,4,2,5,6,5,7,2,3,1,1,2,-3,-3,1,20,0,5,6,6,2,5,2,3,3,4,6,5,7,3,2,4,1,3,-1,3,20,0,5,6,6,2,6,2,3,4,3,6,3,7,4,3,1,1,2,1,-3,20,0,5,4,6,2,4,2,4,2,5,6,5,7,1,2,2,1,2,2,1,20,0,3,6,5,2,4,2,2,3,4,5,6,7,1,4,1,1,2,3,-3,20,0,3,4,5,3,4,2,3,5,5,6,6,7,2,2,1,1,1,2,-3,20,0,3,2,5,3,4,5,5,6,4,5,7,7,1,1,1,1,1,-3,-3,20,0,3,5,5,3,5,6,2,2,4,3,6,7,2,3,1,1,2,-3,-2
9,1,19,1,4,4,5,5,7,2,3,2,4,7,3,6,2,2,3,3,4,3,-2,1,19,1,5,3,5,3,7,4,4,3,4,5,3,5,4,3,1,1,4,2,2,1,19,1,5,2,5,4,7,3,4,3,4,6,3,5,3,2,3,2,4,3,2,1,19,1,6,2,5,4,7,3,3,3,4,6,2,5,3,3,4,2,3,2,1,19,1,5,1,6,4,7,3,3,3,4,6,2,4,4,2,2,2,3,2,-2,19,1,5,3,5,2,7,4,3,3,4,6,2,4,3,3,3,2,3,3,2,19,1,5,3,5,5,7,2,2,2,4,6,3,5,4,3,3,2,2,2,-2,19,1,5,3,6,5,7,3,3,2,4,6,3,4,3,4,4,2,2,2,-3,19,1,5,3,6,5,7,2,3,2,4,6,3,5,3,3,3,2,2,2,2,19,1,6,3,6,4,7,2,2,3,4,6,3,5,4,3,4,1,2,2,-2
10,1,18,1,3,5,4,5,6,4,7,4,4,5,5,7,2,2,2,1,3,-3,2,1,18,1,3,5,4,5,7,5,7,3,5,5,5,5,3,3,1,1,1,-3,3,1,18,1,3,5,5,5,7,5,7,3,6,5,5,5,3,3,2,2,2,0,3,1,18,1,3,6,5,5,7,6,7,5,5,6,6,6,2,3,2,1,1,3,-2,18,1,5,5,4,6,7,4,7,2,4,6,6,5,4,3,3,3,2,3,-1,18,1,5,3,5,5,7,4,7,5,6,5,4,5,3,3,3,2,4,-3,2,18,1,5,4,4,4,7,5,6,4,6,5,4,5,3,3,3,3,3,3,3,18,1,4,4,5,5,7,5,7,4,5,5,4,5,2,2,2,2,2,-3,2,18,1,4,4,4,5,7,4,7,5,5,5,5,5,3,3,2,2,1,-2,.,18,1,4,5,5,5,7,3,6,4,5,6,6,5,3,3,3,2,2,2,3
11,1,19,1,3,3,4,3,7,5,3,3,3,5,4,5,3,3,3,3,4,3,3,1,19,1,3,3,4,5,7,5,2,3,3,5,5,5,3,3,3,2,2,3,3,1,19,1,4,5,4,5,7,5,2,3,3,5,5,6,3,3,3,2,3,-1,2,1,19,1,3,5,4,5,7,5,2,5,3,5,4,5,3,3,2,3,3,2,2,19,1,4,5,5,5,7,5,2,5,4,5,5,5,1,2,3,2,1,-2,1,19,1,4,5,5,5,7,5,2,4,4,5,4,5,3,2,3,3,2,3,-2,19,1,4,5,5,5,7,5,2,5,4,5,5,5,3,3,3,2,3,3,-3,19,1,5,5,5,6,7,5,2,5,4,5,4,5,3,3,3,2,3,2,2,19,1,4,5,5,5,7,5,2,5,4,5,5,5,3,3,3,3,3,0,2,19,1,4,5,5,5,7,6,2,5,4,5,4,5,3,3,3,3,3,3,3
12,1,18,1,4,6,7,5,7,5,5,4,4,7,5,5,2,2,2,2,1,1,3,1,18,1,4,6,7,5,7,5,5,5,4,6,5,5,2,2,2,1,1,3,1,1,18,1,4,6,7,5,7,5,4,5,4,7,6,5,1,1,1,0,1,3,3,1,18,1,4,7,7,5,7,6,4,5,5,7,6,5,1,1,1,0,1,-3,-1,18,1,4,6,7,5,7,6,4,5,5,7,6,6,1,1,1,0,1,3,-3,18,1,5,7,7,5,7,6,5,6,5,7,6,5,1,1,1,0,2,2,3,18,1,4,6,7,5,7,6,4,5,5,7,6,5,3,2,1,0,3,3,3,18,1,5,6,7,5,7,6,4,5,5,7,6,5,2,1,2,0,1,-2,-2,18,1,5,6,7,5,7,6,4,5,5,7,6,5,1,1,1,0,1,-3,0,18,1,5,6,7,5,7,6,5,5,4,7,6,5,1,1,1,0,1,-3,-2
13,1,18,1,5,7,6,2,6,4,5,3,2,6,7,6,4,4,4,3,2,-1,0,1,18,1,5,6,6,5,6,5,6,4,4,6,7,6,3,3,3,3,3,3,3,1,18,1,6,6,6,4,5,4,6,5,2,6,7,5,3,3,3,1,2,3,3,1,18,1,5,7,7,4,6,5,6,4,4,7,7,5,3,3,3,2,2,3,3,18,1,6,6,7,4,7,5,6,6,3,7,7,6,3,3,3,1,2,-2,1,18,1,5,7,7,3,7,4,6,4,2,7,7,6,3,3,3,3,3,-3,3,18,1,5,7,7,3,7,4,7,4,1,7,7,6,3,3,3,3,3,3,-3,18,1,5,7,7,5,7,7,7,6,7,7,7,6,4,2,4,1,4,3,3,18,1,6,7,7,6,7,6,6,6,2,7,7,6,4,4,4,1,3,3,-3,18,1,5,7,7,6,7,6,7,6,2,7,7,6,4,4,3,2,4,-3,-3
14,1,18,1,5,6,7,2,7,3,4,2,2,7,6,6,4,4,3,0,2,3,-3,1,18,1,5,6,7,2,7,6,3,2,2,7,6,7,4,2,3,1,1,3,-3,1,18,1,3,6,7,5,7,3,3,3,2,7,6,7,4,4,4,2,2,3,-2,1,18,1,3,6,7,3,7,4,3,3,3,7,2,2,4,4,4,2,2,2,-3,18,1,3,7,7,5,7,2,2,3,2,7,7,7,3,2,4,1,1,3,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,18,1,3,6,7,6,7,5,3,3,2,7,6,7,3,2,3,1,2,3,-2,18,1,2,6,7,6,7,5,3,3,3,7,5,7,3,2,4,0,3,3,-3,18,1,3,6,7,6,7,6,3,3,3,7,2,7,3,2,2,1,2,3,-3,18,1,2,6,7,5,7,6,2,3,2,7,6,7,3,3,2,1,2,3,-2
